Thermo Fisher Scientific
XRF Spectra
2.21.0.183,WISpectra Version
20160628_145212,Date_time
5,FileFormat
0x8501,AnalyserID
0x2101,SamplerID
53.04,live
56.62,real
Spectral operations,
error,RunMode
0,stream
24,ROIs
0,Tot,0xDFDFDF,0.00,3784.10,15.90,56347.00,0,150.00,0.00,0.00,0.00,0.00,0.00
1,CrKa,0x800080,358.23,403.33,5042.80,5676.70,1,150.00,4986.50,5155.50,5634.40,5719.00,5414.00
2,CrKb,0x8080FF,403.33,436.35,5676.70,6141.50,0,150.00,0.00,0.00,0.00,0.00,5946.00
3,FeKa,0x0000FF,435.24,477.20,6125.90,6717.30,1,170.00,6099.30,6169.70,6634.60,6761.30,6402.95
4,FeKb,0x03D48C,478.46,519.38,6735.00,7312.60,1,150.00,6690.90,6747.30,7705.10,7775.50,7057.00
5,NiKa,0x00FF00,517.25,550.15,7282.50,7747.40,0,150.00,0.00,0.00,0.00,0.00,7477.00
6,NiKb,0xFF00FF,558.11,604.88,7860.10,8522.10,1,150.00,7775.50,7860.10,8508.00,8620.70,8264.00
7,BrKa,0xFF0000,812.09,864.33,11468.00,12214.00,1,150.00,11254.40,11451.50,12211.90,12366.80,11923.00
8,PuLaBS,0x3905E6,870.27,984.33,12299.00,13933.00,0,150.00,0.00,0.00,0.00,0.00,0.00
9,PuLgBS,0x117310,1023.52,1240.20,14496.00,17623.00,0,150.00,0.00,0.00,0.00,0.00,0.00
10,PuLbRay,0x5AA1D0,1194.47,1240.20,16961.00,17623.00,0,150.00,0.00,0.00,0.00,0.00,0.00
11,,0x0000FF,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00
12,,0x0000FF,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00
13,,0x0000FF,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00
14,,0x0000FF,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00
15,,0x0000FF,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00
16,,0x0000FF,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00
17,,0x0000FF,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00
18,,0x0000FF,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00
19,,0x0000FF,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00
20,,0x0000FF,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00
21,,0x0000FF,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00
22,,0x0000FF,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00
23,,0x0000FF,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00
2,Fitting_Order
Energy-Bin,-2.9501,0.0720577,-8.60438e-008
Bin-Energy,41.6505,13.8743,0.000240659
CAL_Keypeaks,3,1,5414.00,5414.00,3,6402.95,6402.95,4,7057.00,7057.00
AEC,0,1
AEC_Keypeaks,2,1,384.67,384.89,4,501.27,501.78
WinISA_report_Keypeaks,3,4
ARM_Keypeaks,3
0,Internal_Standard
4000,bins
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
0, 0.00
1, 1.00
1, 1.00
3, 3.00
2, 2.00
4, 4.00
2, 2.00
4, 4.00
3, 3.00
10, 10.00
7, 7.00
10, 10.00
7, 7.00
12, 12.00
8, 8.00
7, 7.00
7, 7.00
7, 7.00
11, 11.00
6, 6.00
9, 9.00
7, 7.00
11, 11.00
10, 10.00
3, 3.00
11, 11.00
6, 6.00
5, 5.00
10, 10.00
8, 8.00
7, 7.00
8, 8.00
8, 8.00
7, 7.00
10, 10.00
8, 8.00
9, 9.00
5, 5.00
3, 3.00
3, 3.00
7, 7.00
7, 7.00
8, 8.00
4, 4.00
10, 10.00
4, 4.00
13, 13.00
6, 6.00
5, 5.00
7, 7.00
8, 8.00
4, 4.00
2, 2.00
5, 5.00
7, 7.00
9, 9.00
2, 2.00
7, 7.00
3, 3.00
5, 5.00
5, 5.00
5, 5.00
5, 5.00
8, 8.00
3, 3.00
7, 7.00
5, 5.00
5, 5.00
6, 6.00
4, 4.00
5, 5.00
8, 8.00
4, 4.00
6, 6.00
7, 7.00
